Namespace,Full Key Path,English Text
auth,auth:appName,Wager
auth,auth:tagline,"Track your pay, predict your earnings"
auth,auth:footer,Built for Amazon DSP couriers
auth,auth:login.title,Welcome Back
auth,auth:login.subtitle,Sign in to your account
auth,auth:login.button,Login
auth,auth:login.tabLabel,Login
auth,auth:login.noAccount,Don't have an account?
auth,auth:login.signUpLink,Sign up
auth,auth:login.rememberMe,Remember me for 30 days
auth,auth:login.forgotPassword,Forgot your password?
auth,auth:signup.title,Create Account
auth,auth:signup.subtitle,Start tracking your pay today
auth,auth:signup.button,Sign Up
auth,auth:signup.createAccountButton,Create Account
auth,auth:signup.tabLabel,Sign Up
auth,auth:signup.haveAccount,Already have an account?
auth,auth:signup.loginLink,Login
auth,auth:signup.displayName,Display Name
auth,auth:signup.firstName,First Name
auth,auth:signup.lastName,Last Name
auth,auth:signup.passwordHint,At least 6 characters
auth,auth:forgotPassword.title,Reset Password
auth,auth:forgotPassword.subtitle,Enter your email to receive a password reset link
auth,auth:forgotPassword.button,Send Reset Link
auth,auth:forgotPassword.sending,Sending...
auth,auth:forgotPassword.backToLogin,Back to login
auth,auth:forgotPassword.successMessage,"If an account exists with this email, a password reset link has been sent. Please check your inbox and spam folder."
auth,auth:forgotPassword.backToLoginButton,Back to Login
auth,auth:resetPassword.title,Reset Your Password
auth,auth:resetPassword.newPassword,New Password
auth,auth:resetPassword.confirmPassword,Confirm Password
auth,auth:resetPassword.button,Reset Password
auth,auth:placeholders.email,you@example.com
auth,auth:placeholders.password,••••••••
auth,auth:placeholders.displayName,Speedy McDelivery
auth,auth:placeholders.firstName,John
auth,auth:placeholders.lastName,Doe
auth,auth:submitting,Please wait...
calendar,calendar:pageTitle,Calendar - Week {{week}}
calendar,calendar:dayCell.off,OFF
calendar,calendar:dayCell.add,Add
calendar,calendar:dayCell.edit,Edit
calendar,calendar:dayCell.maxDays,Max 6 days
calendar,calendar:dayCell.route,Route
calendar,calendar:dayCell.routeTypes.std,Std.
