Namespace,Key,Full Key Path,English Text,Polski,Română,Español,Português,Deutsch,Français,العربية,Български,Context/Notes
auth,appName,auth:appName,Wager,,,,,,,,,
auth,tagline,auth:tagline,"Track your pay, predict your earnings",,,,,,,,,
auth,footer,auth:footer,Built for Amazon DSP couriers,,,,,,,,,
auth,login.title,auth:login.title,Welcome Back,,,,,,,,,
auth,login.subtitle,auth:login.subtitle,Sign in to your account,,,,,,,,,
auth,login.button,auth:login.button,Login,,,,,,,,,
auth,login.tabLabel,auth:login.tabLabel,Login,,,,,,,,,
auth,login.noAccount,auth:login.noAccount,Don't have an account?,,,,,,,,,
auth,login.signUpLink,auth:login.signUpLink,Sign up,,,,,,,,,
auth,login.rememberMe,auth:login.rememberMe,Remember me for 30 days,,,,,,,,,
auth,login.forgotPassword,auth:login.forgotPassword,Forgot your password?,,,,,,,,,
auth,signup.title,auth:signup.title,Create Account,,,,,,,,,
auth,signup.subtitle,auth:signup.subtitle,Start tracking your pay today,,,,,,,,,
auth,signup.button,auth:signup.button,Sign Up,,,,,,,,,
auth,signup.createAccountButton,auth:signup.createAccountButton,Create Account,,,,,,,,,
auth,signup.tabLabel,auth:signup.tabLabel,Sign Up,,,,,,,,,
auth,signup.haveAccount,auth:signup.haveAccount,Already have an account?,,,,,,,,,
auth,signup.loginLink,auth:signup.loginLink,Login,,,,,,,,,
auth,signup.displayName,auth:signup.displayName,Display Name,,,,,,,,,
auth,signup.firstName,auth:signup.firstName,First Name,,,,,,,,,
auth,signup.lastName,auth:signup.lastName,Last Name,,,,,,,,,
auth,signup.passwordHint,auth:signup.passwordHint,At least 6 characters,,,,,,,,,
auth,forgotPassword.title,auth:forgotPassword.title,Reset Password,,,,,,,,,
auth,forgotPassword.subtitle,auth:forgotPassword.subtitle,Enter your email to receive a password reset link,,,,,,,,,
auth,forgotPassword.button,auth:forgotPassword.button,Send Reset Link,,,,,,,,,
auth,forgotPassword.sending,auth:forgotPassword.sending,Sending...,,,,,,,,,
auth,forgotPassword.backToLogin,auth:forgotPassword.backToLogin,Back to login,,,,,,,,,
auth,forgotPassword.successMessage,auth:forgotPassword.successMessage,"If an account exists with this email, a password reset link has been sent. Please check your inbox and spam folder.",,,,,,,,,
auth,forgotPassword.backToLoginButton,auth:forgotPassword.backToLoginButton,Back to Login,,,,,,,,,
auth,resetPassword.title,auth:resetPassword.title,Reset Your Password,,,,,,,,,
auth,resetPassword.newPassword,auth:resetPassword.newPassword,New Password,,,,,,,,,
auth,resetPassword.confirmPassword,auth:resetPassword.confirmPassword,Confirm Password,,,,,,,,,
auth,resetPassword.button,auth:resetPassword.button,Reset Password,,,,,,,,,
auth,placeholders.email,auth:placeholders.email,you@example.com,,,,,,,,,
auth,placeholders.password,auth:placeholders.password,••••••••,,,,,,,,,
auth,placeholders.displayName,auth:placeholders.displayName,Speedy McDelivery,,,,,,,,,
auth,placeholders.firstName,auth:placeholders.firstName,John,,,,,,,,,
auth,placeholders.lastName,auth:placeholders.lastName,Doe,,,,,,,,,
auth,submitting,auth:submitting,Please wait...,,,,,,,,,
calendar,pageTitle,calendar:pageTitle,Calendar - Week {{week}},,,,,,,,,
calendar,dayCell.off,calendar:dayCell.off,OFF,,,,,,,,,
calendar,dayCell.add,calendar:dayCell.add,Add,,,,,,,,,
calendar,dayCell.edit,calendar:dayCell.edit,Edit,,,,,,,,,
calendar,dayCell.maxDays,calendar:dayCell.maxDays,Max 6 days,,,,,,,,,
calendar,dayCell.route,calendar:dayCell.route,Route,,,,,,,,,
calendar,dayCell.routeTypes.std,calendar:dayCell.routeTypes.std,Std.,,,,,,,,,
calendar,dayCell.routeTypes.drs,calendar:dayCell.routeTypes.drs,DRS,,,,,,,,,
calendar,dayCell.routeTypes.manual,calendar:dayCell.routeTypes.manual,Manual,,,,,,,,,
calendar,dayCell.mileageEstimated,calendar:dayCell.mileageEstimated,* Estimated (odometer data),,,,,,,,,
calendar,dayEditModal.title,calendar:dayEditModal.title,Add Work,,,,,,,,,
calendar,dayEditModal.editTitle,calendar:dayEditModal.editTitle,Edit Work,,,,,,,,,
calendar,dayEditModal.date,calendar:dayEditModal.date,Date,,,,,,,,,
calendar,dayEditModal.routeType,calendar:dayEditModal.routeType,Route Type,,,,,,,,,
calendar,dayEditModal.routeTypes.normal,calendar:dayEditModal.routeTypes.normal,Normal Route,,,,,,,,,
calendar,dayEditModal.routeTypes.drs,calendar:dayEditModal.routeTypes.drs,DRS Route,,,,,,,,,
calendar,dayEditModal.routeTypes.manual,calendar:dayEditModal.routeTypes.manual,Manual Entry,,,,,,,,,
calendar,dayEditModal.routeNumber,calendar:dayEditModal.routeNumber,Route Number,,,,,,,,,
calendar,dayEditModal.dailyRate,calendar:dayEditModal.dailyRate,Daily Rate (£),,,,,,,,,
calendar,dayEditModal.dailyRateHelp,calendar:dayEditModal.dailyRateHelp,This will be your pay for this day,,,,,,,,,
calendar,dayEditModal.sweepsGiven,calendar:dayEditModal.sweepsGiven,Stops Given,,,,,,,,,
calendar,dayEditModal.sweepsTaken,calendar:dayEditModal.sweepsTaken,Stops Taken,,,,,,,,,
calendar,dayEditModal.sweepsHelp,calendar:dayEditModal.sweepsHelp,"+£1 per stop you help others, -£1 per stop others help you",,,,,,,,,
calendar,dayEditModal.amazonPaidMiles,calendar:dayEditModal.amazonPaidMiles,Amazon Paid Miles,,,,,,,,,
calendar,dayEditModal.vanLoggedMiles,calendar:dayEditModal.vanLoggedMiles,Van Logged Miles (Odometer),,,,,,,,,
calendar,dayEditModal.mileageHelp,calendar:dayEditModal.mileageHelp,Track actual van odometer reading for discrepancy checking,,,,,,,,,
calendar,dayEditModal.notes,calendar:dayEditModal.notes,Notes,,,,,,,,,
calendar,dayEditModal.save,calendar:dayEditModal.save,Save,,,,,,,,,
calendar,dayEditModal.saving,calendar:dayEditModal.saving,Saving...,,,,,,,,,
calendar,dayEditModal.delete,calendar:dayEditModal.delete,Delete Work Day,,,,,,,,,
calendar,dayEditModal.deleteConfirmTitle,calendar:dayEditModal.deleteConfirmTitle,Delete Work Day?,,,,,,,,,
calendar,dayEditModal.deleteConfirmMessage,calendar:dayEditModal.deleteConfirmMessage,Are you sure you want to delete this work day? This will remove it from your week's pay calculation.,,,,,,,,,
calendar,dayEditModal.maxDaysError,calendar:dayEditModal.maxDaysError,Cannot work more than 6 days per week (legal limit),,,,,,,,,
calendar,dayEditModal.estimatedRate,calendar:dayEditModal.estimatedRate,Estimated: £{{rate}},,,,,,,,,
calendar,dayEditModal.warnings.maxDaysReached,calendar:dayEditModal.warnings.maxDaysReached,Max 6 work days - cannot add more,,,,,,,,,
calendar,paymentThisWeek.title,calendar:paymentThisWeek.title,Payment This Week,,,,,,,,,
calendar,paymentThisWeek.totalPayment,calendar:paymentThisWeek.totalPayment,Total Payment,,,,,,,,,
calendar,paymentThisWeek.noPayment,calendar:paymentThisWeek.noPayment,No payment expected this week,,,,,,,,,
calendar,paymentThisWeek.basePay,calendar:paymentThisWeek.basePay,Base Pay,,,,,,,,,
calendar,paymentThisWeek.devicePayment,calendar:paymentThisWeek.devicePayment,Device Payment,,,,,,,,,
calendar,paymentThisWeek.sixDayBonus,calendar:paymentThisWeek.sixDayBonus,6-Day Bonus,,,,,,,,,
calendar,paymentThisWeek.sweeps,calendar:paymentThisWeek.sweeps,Sweeps,,,,,,,,,
calendar,paymentThisWeek.mileage,calendar:paymentThisWeek.mileage,Mileage,,,,,,,,,
calendar,paymentThisWeek.vanHire,calendar:paymentThisWeek.vanHire,Van Hire,,,,,,,,,
calendar,paymentThisWeek.depositPayment,calendar:paymentThisWeek.depositPayment,Deposit Payment,,,,,,,,,
calendar,paymentThisWeek.invoicing,calendar:paymentThisWeek.invoicing,Invoicing,,,,,,,,,
